num_layer,hidden_dim,lr,patience,mean_best_val_loss,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_auc,sd_test_accuracy,sd_test_balanced_accuracy,sd_test_auc
1,2,0.005,50,0.43909919943128317,0.8086482497899787,0.5802504848533409,0.7524254407676838,0.012946568025642443,0.03319158629768605,0.051572100634678035
1,4,0.005,50,0.41392268538475036,0.81673992428473,0.6109520061109903,0.7963090478402316,0.0084081684959167,0.016724472656342578,0.007471053213366563
1,8,0.005,50,0.408008691242763,0.8182976774153946,0.6187582922872583,0.8047871472952004,0.005695147696263513,0.011107418407852768,0.004906102706188128
1,16,0.005,50,0.4040464035102299,0.8178065020248209,0.6321217379083321,0.8076276122817843,0.006816947010062598,0.006941080910214291,0.006511606127478079
1,32,0.005,50,0.41306124840463915,0.8121429682591941,0.6001496204343522,0.7971103396970793,0.007048586611787146,0.013561784057204348,0.00692261467109744
1,64,0.005,50,0.4150101099695478,0.8142203953403964,0.6088426476111302,0.7933701330614651,0.006364994440998159,0.01477881964684167,0.006439019215088946
2,2,0.005,50,0.43274711540767125,0.8148792615850283,0.5990225530669661,0.7174494099395252,0.010699041252579852,0.05641009959314698,0.17033890074228145
2,4,0.005,50,0.4091785081795284,0.8171140268701423,0.6247797134037045,0.8001136924575694,0.005937446440137803,0.020297505465572147,0.007394346953618009
2,8,0.005,50,0.4036329805850983,0.8189452326901883,0.6377187537299508,0.8093713040143197,0.0053188923296940025,0.00729687984608442,0.008863243748951024
2,16,0.005,50,0.4040842252118247,0.8183335881318335,0.6302623684126236,0.8081750822146345,0.006266670723060136,0.012018877482755794,0.006330557884040666
2,32,0.005,50,0.4088302416460855,0.8159077672760701,0.6252760438109797,0.8013660655544138,0.004476406012622763,0.015455801965964857,0.0054092325960222384
2,64,0.005,50,0.4113544302327292,0.8161593194556345,0.614914166510229,0.797914012221083,0.008587402715837565,0.021907494654535013,0.0035254790918443388
3,2,0.005,50,0.4162522350038801,0.8175200735572824,0.6303258489680441,0.7932490260734026,0.007520282965981649,0.014195595329490912,0.005541660208886683
3,4,0.005,50,0.4069474032946996,0.8195601819011932,0.6336403495338809,0.803048053150006,0.005830276250510943,0.010281755916920918,0.004554788517125589
3,8,0.005,50,0.4046346264226096,0.8172014599039624,0.629164694092583,0.8052990467379015,0.005178189457793878,0.01712701219302496,0.006344486542585521
3,16,0.005,50,0.4054245301655361,0.8163461401042129,0.6370229133113369,0.8050523772059229,0.004181454140051066,0.015829439787539073,0.006165054676983129
3,32,0.005,50,0.40696830068315776,0.818302696342819,0.6335751288877273,0.8043857706189159,0.004015796216522121,0.004451329252783592,0.003608718388085984
3,64,0.005,50,0.4118246606418065,0.814295046064899,0.6294500756604426,0.7955547885366727,0.007149699243268288,0.009879625284026227,0.006386689346369198
