model_name,test_fold,val_fold,participant_emb_dim,hyper_hidden_dim,hidden_dim,n_epochs,lr,patience,best_val_loss,test_accuracy,test_balanced_accuracy,test_auc,n_pred_0,n_pred_1,model_path
HyperRNN,0,1,2,2,2,400,0.005,50,0.3674925523144858,0.8444063437633947,0.8444564482464649,0.9207690272510803,1150,1183,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold0_2pdim_2hyperh_2hidden.pt
HyperRNN,1,2,2,2,2,400,0.005,50,0.31467582072530476,0.8505993150684932,0.8506303588196358,0.9258134483878369,1084,1252,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold1_2pdim_2hyperh_2hidden.pt
HyperRNN,2,3,2,2,2,400,0.005,50,0.41285265343529837,0.8319112627986348,0.8314605105262545,0.9233227604767398,1084,1260,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold2_2pdim_2hyperh_2hidden.pt
HyperRNN,3,4,2,2,2,400,0.005,50,0.3863020198685782,0.8360515021459227,0.8369585713493428,0.9163980552012275,1177,1153,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold3_2pdim_2hyperh_2hidden.pt
HyperRNN,4,0,2,2,2,400,0.005,50,0.4005948986325945,0.8385438972162741,0.83913139329806,0.9019734714873604,1166,1169,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold4_2pdim_2hyperh_2hidden.pt
HyperRNN,0,1,2,2,4,400,0.005,50,0.2840114597763334,0.8692670381483069,0.8694898874092365,0.9458807361025369,1078,1255,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold0_2pdim_2hyperh_4hidden.pt
HyperRNN,1,2,2,2,4,400,0.005,50,0.3292607218027115,0.8587328767123288,0.8587320401429972,0.927511851068337,1171,1165,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold1_2pdim_2hyperh_4hidden.pt
HyperRNN,2,3,2,2,4,400,0.005,50,0.34857299072401865,0.8813993174061433,0.8812374028637004,0.943789830251768,1132,1212,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold2_2pdim_2hyperh_4hidden.pt
HyperRNN,3,4,2,2,4,400,0.005,50,0.2743896778140749,0.8776824034334764,0.8787661989536539,0.9519838056680163,1176,1154,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold3_2pdim_2hyperh_4hidden.pt
HyperRNN,4,0,2,2,4,400,0.005,50,0.3994170001574925,0.8218415417558886,0.8233263521457966,0.890735596707819,1113,1222,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold4_2pdim_2hyperh_4hidden.pt
HyperRNN,0,1,2,2,8,400,0.005,50,0.2819959159408297,0.8726960994427775,0.8728521768527501,0.951660934238763,1106,1227,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold0_2pdim_2hyperh_8hidden.pt
HyperRNN,1,2,2,2,8,400,0.005,50,0.26780626816408976,0.8745719178082192,0.8745765904841071,0.9462499899210026,1156,1180,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold1_2pdim_2hyperh_8hidden.pt
HyperRNN,2,3,2,2,8,400,0.005,50,0.2810453623533249,0.8809726962457338,0.8810844896485035,0.9554454580406138,1179,1165,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold2_2pdim_2hyperh_8hidden.pt
HyperRNN,3,4,2,2,8,400,0.005,50,0.2933842433350427,0.8832618025751073,0.8838740687334776,0.953033849111715,1195,1135,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold3_2pdim_2hyperh_8hidden.pt
HyperRNN,4,0,2,2,8,400,0.005,50,0.3479629563433783,0.8501070663811563,0.8500679747207525,0.9202116402116403,1203,1132,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold4_2pdim_2hyperh_8hidden.pt
HyperRNN,0,1,2,2,16,400,0.005,50,0.2888908471379961,0.8696956708101158,0.8698874827292236,0.9506706205720669,1091,1242,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold0_2pdim_2hyperh_16hidden.pt
HyperRNN,1,2,2,2,16,400,0.005,50,0.304325133562088,0.8694349315068494,0.8694447315431568,0.9331194386841447,1142,1194,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold1_2pdim_2hyperh_16hidden.pt
HyperRNN,2,3,2,2,16,400,0.005,50,0.339393926518304,0.8647610921501706,0.864753358265469,0.9418292643854927,1159,1185,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold2_2pdim_2hyperh_16hidden.pt
HyperRNN,3,4,2,2,16,400,0.005,50,0.34622107659067425,0.8600858369098713,0.859785924241584,0.939124470818775,1227,1103,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold3_2pdim_2hyperh_16hidden.pt
HyperRNN,4,0,2,2,16,400,0.005,50,0.3521691880055836,0.8561027837259101,0.8559689153439154,0.9257613168724279,1209,1126,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold4_2pdim_2hyperh_16hidden.pt
HyperRNN,0,1,2,2,32,400,0.005,50,0.30874399840831757,0.8581225889412774,0.8581540112296793,0.9412569450568834,1158,1175,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold0_2pdim_2hyperh_32hidden.pt
HyperRNN,1,2,2,2,32,400,0.005,50,0.2994245695216315,0.8660102739726028,0.8660010130308609,0.9319949890890273,1194,1142,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold1_2pdim_2hyperh_32hidden.pt
HyperRNN,2,3,2,2,32,400,0.005,50,0.29543917732579367,0.8698805460750854,0.8699553202148358,0.9480994343667354,1173,1171,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold2_2pdim_2hyperh_32hidden.pt
HyperRNN,3,4,2,2,32,400,0.005,50,0.31507566358361927,0.8613733905579399,0.8619839905348197,0.9414249533211322,1192,1138,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold3_2pdim_2hyperh_32hidden.pt
HyperRNN,4,0,2,2,32,400,0.005,50,0.31629997917584013,0.8582441113490364,0.8581312463256907,0.942256025867137,1208,1127,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold4_2pdim_2hyperh_32hidden.pt
HyperRNN,0,1,2,2,64,400,0.005,50,0.32591244152614046,0.8602657522503214,0.8603665079225093,0.9309668695064234,1129,1204,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold0_2pdim_2hyperh_64hidden.pt
HyperRNN,1,2,2,2,64,400,0.005,50,0.28452628212315695,0.8608732876712328,0.8608647559819765,0.9413534297545197,1192,1144,./Results/NN_Results/hyper_rnn/dd/dd_hyper_rnn_fold1_2pdim_2hyperh_64hidden.pt
