correct,cue,flanker_location,flanker_middle_direction,response_time,flanker_type,worker_id,rt_nan
1.0,double,down,left,0.457,incongruent,s144,0
1.0,spatial,down,right,0.387,congruent,s144,0
1.0,spatial,down,left,0.358,congruent,s144,0
1.0,double,down,right,0.409,congruent,s144,0
1.0,double,up,left,0.591,congruent,s144,0
1.0,spatial,down,left,0.566,incongruent,s144,0
1.0,spatial,down,left,0.393,congruent,s144,0
1.0,double,down,left,0.36,incongruent,s144,0
1.0,spatial,down,left,0.365,incongruent,s144,0
1.0,double,down,left,0.357,incongruent,s144,0
1.0,spatial,down,right,0.349,congruent,s144,0
1.0,double,up,left,0.559,congruent,s144,0
1.0,double,down,right,0.494,incongruent,s144,0
1.0,spatial,down,right,0.364,congruent,s144,0
1.0,double,down,right,0.353,congruent,s144,0
1.0,double,up,left,0.426,congruent,s144,0
1.0,spatial,up,left,0.334,incongruent,s144,0
1.0,spatial,up,left,0.37,congruent,s144,0
1.0,double,down,left,0.446,congruent,s144,0
1.0,spatial,down,right,0.328,congruent,s144,0
1.0,spatial,down,left,0.338,congruent,s144,0
1.0,spatial,down,right,0.372,incongruent,s144,0
1.0,spatial,down,left,0.352,incongruent,s144,0
1.0,spatial,up,left,0.374,incongruent,s144,0
1.0,spatial,down,left,0.365,incongruent,s144,0
1.0,double,up,left,0.409,incongruent,s144,0
1.0,double,up,left,0.369,incongruent,s144,0
1.0,spatial,up,left,0.334,incongruent,s144,0
1.0,spatial,down,right,0.33,incongruent,s144,0
1.0,spatial,down,right,0.339,incongruent,s144,0
1.0,spatial,up,left,0.326,congruent,s144,0
1.0,double,down,right,0.377,congruent,s144,0
1.0,double,up,right,0.352,incongruent,s144,0
1.0,spatial,up,left,0.389,congruent,s144,0
1.0,spatial,up,right,0.289,congruent,s144,0
1.0,spatial,up,right,0.367,congruent,s144,0
1.0,spatial,down,left,0.386,incongruent,s144,0
1.0,double,up,left,0.416,congruent,s144,0
1.0,spatial,down,right,0.365,congruent,s144,0
1.0,double,down,right,0.592,incongruent,s144,0
1.0,spatial,up,right,0.361,incongruent,s144,0
1.0,double,up,right,0.394,incongruent,s144,0
1.0,spatial,up,left,0.319,congruent,s144,0
1.0,spatial,down,left,0.4,congruent,s144,0
1.0,double,down,left,0.373,incongruent,s144,0
1.0,spatial,up,left,0.358,congruent,s144,0
1.0,spatial,up,right,0.36,congruent,s144,0
1.0,double,up,right,0.382,incongruent,s144,0
1.0,double,up,right,0.364,congruent,s144,0
0.0,double,up,left,0.399,incongruent,s144,0
1.0,spatial,up,right,0.315,incongruent,s144,0
1.0,double,up,left,0.398,incongruent,s144,0
1.0,spatial,up,left,0.388,incongruent,s144,0
1.0,double,down,right,0.455,congruent,s144,0
1.0,spatial,up,left,0.371,incongruent,s144,0
1.0,spatial,up,right,0.3,incongruent,s144,0
1.0,spatial,down,right,0.353,incongruent,s144,0
1.0,double,up,left,0.462,incongruent,s144,0
1.0,double,up,right,0.345,congruent,s144,0
1.0,spatial,down,left,0.352,congruent,s144,0
1.0,double,up,right,0.339,incongruent,s144,0
1.0,spatial,up,right,0.353,congruent,s144,0
1.0,double,up,left,0.38,congruent,s144,0
1.0,double,down,right,0.402,congruent,s144,0
1.0,double,down,right,0.469,incongruent,s144,0
1.0,spatial,up,right,0.43,incongruent,s144,0
1.0,double,up,left,0.353,congruent,s144,0
1.0,spatial,up,left,0.345,incongruent,s144,0
1.0,double,down,right,0.472,incongruent,s144,0
1.0,spatial,down,left,0.341,incongruent,s144,0
1.0,double,up,right,0.306,congruent,s144,0
0.0,double,down,left,0.413,incongruent,s144,0
1.0,double,down,right,0.486,incongruent,s144,0
1.0,spatial,down,right,0.341,congruent,s144,0
1.0,double,up,right,0.329,congruent,s144,0
1.0,spatial,up,right,0.317,incongruent,s144,0
1.0,spatial,down,right,0.382,incongruent,s144,0
1.0,spatial,up,left,0.378,congruent,s144,0
1.0,spatial,up,right,0.302,congruent,s144,0
1.0,double,up,right,0.45,incongruent,s144,0
1.0,double,down,left,0.415,congruent,s144,0
1.0,double,down,left,0.371,congruent,s144,0
1.0,spatial,down,left,0.352,congruent,s144,0
1.0,double,down,left,0.382,congruent,s144,0
1.0,double,up,right,0.333,incongruent,s144,0
1.0,spatial,down,right,0.35,congruent,s144,0
1.0,spatial,up,right,0.354,congruent,s144,0
1.0,spatial,up,left,0.328,congruent,s144,0
1.0,spatial,down,right,0.31,incongruent,s144,0
1.0,double,down,left,0.404,congruent,s144,0
1.0,double,down,right,0.457,congruent,s144,0
1.0,double,down,left,0.42,congruent,s144,0
1.0,double,down,right,0.353,congruent,s144,0
1.0,double,up,right,0.376,congruent,s144,0
0.0,spatial,down,left,0.345,congruent,s144,0
1.0,spatial,down,right,0.31,incongruent,s144,0
1.0,double,up,right,0.309,incongruent,s144,0
1.0,spatial,down,left,0.319,congruent,s144,0
1.0,spatial,down,right,0.287,congruent,s144,0
1.0,spatial,up,left,0.325,congruent,s144,0
0.0,double,up,left,0.416,incongruent,s144,0
1.0,double,down,left,0.505,incongruent,s144,0
1.0,double,down,right,0.446,incongruent,s144,0
1.0,spatial,up,right,0.339,incongruent,s144,0
1.0,spatial,up,right,0.338,incongruent,s144,0
1.0,double,up,right,0.362,incongruent,s144,0
1.0,double,up,left,0.372,incongruent,s144,0
1.0,spatial,down,right,0.634,incongruent,s172,0
1.0,double,up,left,0.681,incongruent,s172,0
1.0,double,up,right,0.612,incongruent,s172,0
1.0,double,up,left,0.628,incongruent,s172,0
1.0,double,down,left,0.554,congruent,s172,0
1.0,spatial,down,left,0.645,incongruent,s172,0
1.0,spatial,up,right,0.523,congruent,s172,0
1.0,spatial,down,right,0.73,congruent,s172,0
1.0,spatial,up,right,0.638,incongruent,s172,0
1.0,double,up,left,0.665,congruent,s172,0
1.0,spatial,up,left,0.627,incongruent,s172,0
1.0,spatial,up,right,0.52,congruent,s172,0
1.0,spatial,down,right,0.63,congruent,s172,0
1.0,spatial,down,left,0.554,congruent,s172,0
1.0,double,down,right,0.728,incongruent,s172,0
1.0,double,up,right,0.571,congruent,s172,0
1.0,spatial,down,left,0.58,incongruent,s172,0
1.0,double,up,right,0.497,congruent,s172,0
1.0,spatial,down,left,0.601,incongruent,s172,0
1.0,double,up,right,0.532,congruent,s172,0
1.0,double,down,left,0.556,incongruent,s172,0
1.0,double,down,right,0.645,incongruent,s172,0
1.0,spatial,down,left,0.695,congruent,s172,0
1.0,spatial,up,right,0.543,congruent,s172,0
1.0,double,up,left,0.552,congruent,s172,0
1.0,double,up,right,0.502,congruent,s172,0
1.0,spatial,down,left,0.672,incongruent,s172,0
1.0,spatial,up,left,0.582,congruent,s172,0
1.0,double,up,right,0.598,incongruent,s172,0
1.0,spatial,up,left,0.52,incongruent,s172,0
1.0,double,up,right,0.566,incongruent,s172,0
1.0,spatial,down,right,0.794,congruent,s172,0
1.0,double,up,left,0.46,congruent,s172,0
1.0,double,up,left,0.529,incongruent,s172,0
1.0,spatial,up,left,0.445,congruent,s172,0
1.0,double,down,right,0.666,congruent,s172,0
1.0,double,down,left,0.537,congruent,s172,0
1.0,spatial,down,right,0.633,incongruent,s172,0
1.0,spatial,down,right,0.567,congruent,s172,0
1.0,double,up,left,0.558,congruent,s172,0
1.0,spatial,down,left,0.507,congruent,s172,0
1.0,spatial,up,right,0.488,congruent,s172,0
1.0,spatial,down,right,0.623,incongruent,s172,0
1.0,spatial,down,right,0.705,incongruent,s172,0
1.0,spatial,down,left,0.616,incongruent,s172,0
1.0,spatial,up,left,0.547,incongruent,s172,0
1.0,double,down,right,0.85,incongruent,s172,0
1.0,double,down,left,0.612,incongruent,s172,0
1.0,spatial,up,right,0.547,incongruent,s172,0
1.0,spatial,up,right,0.542,incongruent,s172,0
1.0,spatial,down,left,0.647,incongruent,s172,0
1.0,spatial,down,left,0.468,congruent,s172,0
1.0,double,up,left,0.633,congruent,s172,0
1.0,double,up,left,0.55,incongruent,s172,0
1.0,spatial,up,right,0.584,congruent,s172,0
1.0,spatial,down,left,0.687,congruent,s172,0
1.0,spatial,up,right,0.67,congruent,s172,0
1.0,spatial,up,left,0.536,incongruent,s172,0
1.0,double,up,right,0.504,congruent,s172,0
1.0,spatial,up,left,0.539,congruent,s172,0
1.0,double,down,left,0.75,incongruent,s172,0
1.0,spatial,down,right,0.539,incongruent,s172,0
1.0,double,up,right,0.788,incongruent,s172,0
1.0,spatial,down,left,0.67,congruent,s172,0
1.0,spatial,up,right,0.604,congruent,s172,0
1.0,double,up,right,0.518,incongruent,s172,0
1.0,spatial,up,left,0.452,congruent,s172,0
1.0,spatial,up,right,0.452,congruent,s172,0
1.0,double,up,left,0.58,incongruent,s172,0
1.0,double,down,left,0.547,congruent,s172,0
1.0,double,up,right,0.569,incongruent,s172,0
1.0,spatial,down,left,0.594,incongruent,s172,0
1.0,double,down,right,0.653,incongruent,s172,0
1.0,spatial,up,left,0.502,incongruent,s172,0
1.0,double,down,right,0.547,congruent,s172,0
1.0,spatial,up,left,0.45,incongruent,s172,0
1.0,spatial,up,left,0.462,incongruent,s172,0
1.0,spatial,down,right,0.674,incongruent,s172,0
1.0,double,down,left,0.577,incongruent,s172,0
1.0,double,up,right,0.554,congruent,s172,0
1.0,spatial,down,right,0.489,congruent,s172,0
1.0,double,down,left,0.654,incongruent,s172,0
1.0,spatial,up,left,0.496,congruent,s172,0
1.0,double,down,left,0.596,congruent,s172,0
1.0,double,down,right,0.477,congruent,s172,0
1.0,double,up,left,0.63,incongruent,s172,0
1.0,spatial,up,right,0.533,incongruent,s172,0
1.0,double,down,right,0.573,congruent,s172,0
1.0,spatial,up,left,0.577,incongruent,s172,0
1.0,double,up,left,0.527,incongruent,s172,0
1.0,spatial,down,right,0.551,incongruent,s172,0
1.0,double,down,right,0.519,congruent,s172,0
1.0,double,down,right,0.483,incongruent,s172,0
1.0,double,down,left,0.564,incongruent,s172,0
1.0,spatial,down,right,0.574,congruent,s172,0
1.0,double,up,left,0.559,congruent,s172,0
1.0,spatial,up,right,0.705,incongruent,s172,0
1.0,spatial,up,right,0.515,incongruent,s172,0
1.0,spatial,up,left,0.529,congruent,s172,0
1.0,spatial,down,right,0.589,congruent,s172,0
1.0,double,up,left,0.679,incongruent,s172,0
1.0,double,down,left,0.525,congruent,s172,0
1.0,double,down,right,0.508,congruent,s172,0
1.0,spatial,down,left,0.567,congruent,s172,0
1.0,double,down,right,0.553,congruent,s172,0
1.0,double,down,right,0.607,incongruent,s172,0
1.0,spatial,up,left,0.605,congruent,s172,0
1.0,spatial,up,left,0.628,congruent,s172,0
1.0,spatial,down,right,0.473,congruent,s172,0
1.0,spatial,down,right,0.682,incongruent,s172,0
1.0,double,down,right,0.503,congruent,s172,0
1.0,double,down,left,0.52,congruent,s172,0
1.0,double,up,left,0.522,congruent,s172,0
1.0,double,up,left,0.549,congruent,s172,0
1.0,double,down,left,0.613,congruent,s172,0
1.0,spatial,down,left,0.477,congruent,s172,0
1.0,spatial,up,right,0.551,incongruent,s172,0
1.0,double,down,left,0.647,incongruent,s172,0
1.0,spatial,down,left,0.632,congruent,s172,0
1.0,spatial,up,right,0.476,congruent,s172,0
1.0,spatial,up,left,0.543,congruent,s172,0
1.0,double,down,right,0.849,incongruent,s172,0
1.0,double,down,right,0.534,incongruent,s172,0
1.0,double,up,right,0.691,incongruent,s172,0
1.0,spatial,up,right,0.681,incongruent,s172,0
1.0,spatial,down,left,0.681,incongruent,s172,0
1.0,double,down,left,0.745,incongruent,s172,0
1.0,double,up,right,0.664,incongruent,s172,0
1.0,spatial,down,right,0.518,congruent,s192,0
1.0,double,down,left,0.49,incongruent,s192,0
1.0,spatial,up,left,0.48,congruent,s192,0
1.0,spatial,up,left,0.412,congruent,s192,0
1.0,double,down,right,0.448,incongruent,s192,0
1.0,double,up,left,0.432,congruent,s192,0
1.0,double,down,right,0.572,incongruent,s192,0
1.0,spatial,down,left,0.439,incongruent,s192,0
1.0,double,up,right,0.513,incongruent,s192,0
1.0,spatial,up,left,0.487,incongruent,s192,0
1.0,double,down,left,0.453,congruent,s192,0
1.0,spatial,down,right,0.532,incongruent,s192,0
1.0,spatial,up,right,0.538,incongruent,s192,0
1.0,spatial,down,right,0.449,incongruent,s192,0
1.0,double,up,left,0.556,incongruent,s192,0
1.0,double,down,left,0.544,congruent,s192,0
1.0,spatial,up,left,0.466,congruent,s192,0
1.0,double,up,left,0.568,incongruent,s192,0
1.0,spatial,down,left,0.458,congruent,s192,0
1.0,double,down,right,0.686,congruent,s192,0
1.0,double,up,left,0.426,congruent,s192,0
1.0,double,down,left,0.487,incongruent,s192,0
1.0,spatial,down,left,0.469,incongruent,s192,0
1.0,double,up,right,0.608,congruent,s192,0
1.0,spatial,down,right,0.482,incongruent,s192,0
1.0,double,up,right,0.528,incongruent,s192,0
1.0,spatial,up,left,0.496,incongruent,s192,0
1.0,double,up,right,0.456,congruent,s192,0
1.0,double,up,right,0.548,incongruent,s192,0
1.0,double,up,left,0.485,incongruent,s192,0
1.0,spatial,down,right,0.487,congruent,s192,0
1.0,double,up,left,0.85,congruent,s192,0
1.0,spatial,up,right,0.45,incongruent,s192,0
1.0,spatial,down,right,0.437,incongruent,s192,0
1.0,spatial,down,left,0.389,congruent,s192,0
1.0,spatial,up,right,0.443,congruent,s192,0
1.0,double,down,left,0.323,incongruent,s192,0
1.0,double,down,left,0.399,congruent,s192,0
1.0,double,down,right,0.539,congruent,s192,0
1.0,spatial,down,right,0.429,congruent,s192,0
1.0,double,up,right,0.445,congruent,s192,0
1.0,double,down,right,0.512,incongruent,s192,0
1.0,spatial,up,left,0.449,congruent,s192,0
1.0,spatial,down,left,0.422,congruent,s192,0
1.0,spatial,up,left,0.438,congruent,s192,0
1.0,spatial,down,left,0.449,incongruent,s192,0
1.0,double,up,left,0.497,congruent,s192,0
1.0,double,down,left,0.463,congruent,s192,0
1.0,double,up,right,0.611,congruent,s192,0
1.0,double,down,right,0.49,congruent,s192,0
1.0,double,up,left,0.431,congruent,s192,0
1.0,spatial,down,right,0.475,congruent,s192,0
1.0,spatial,up,left,0.421,incongruent,s192,0
1.0,double,down,left,0.406,incongruent,s192,0
1.0,spatial,up,left,0.486,congruent,s192,0
1.0,spatial,down,left,0.374,congruent,s192,0
1.0,spatial,up,left,0.42,congruent,s192,0
1.0,double,down,left,0.391,incongruent,s192,0
1.0,double,down,left,0.374,incongruent,s192,0
1.0,double,down,right,0.459,incongruent,s192,0
1.0,spatial,down,right,0.439,incongruent,s192,0
1.0,spatial,down,left,0.461,incongruent,s192,0
1.0,double,up,left,0.687,incongruent,s192,0
1.0,double,down,left,0.492,incongruent,s192,0
1.0,spatial,up,left,0.574,incongruent,s192,0
1.0,double,down,right,0.528,incongruent,s192,0
1.0,double,up,left,0.552,incongruent,s192,0
1.0,double,up,left,0.426,incongruent,s192,0
