correct,stim_color,stim_word,key_press,trial_type,worker_id
1.0,blue,green,71,incongruent,s172
1.0,blue,blue,71,congruent,s172
1.0,red,red,89,congruent,s172
1.0,green,blue,82,incongruent,s172
1.0,green,green,82,congruent,s172
1.0,blue,red,71,incongruent,s172
1.0,blue,green,71,incongruent,s172
1.0,green,red,82,incongruent,s172
1.0,blue,blue,71,congruent,s172
1.0,blue,blue,71,congruent,s172
1.0,blue,green,71,incongruent,s172
1.0,green,green,82,congruent,s172
1.0,blue,blue,71,congruent,s172
1.0,blue,red,71,incongruent,s172
1.0,red,green,89,incongruent,s172
1.0,red,red,89,congruent,s172
1.0,green,red,82,incongruent,s172
1.0,green,blue,82,incongruent,s172
1.0,green,red,82,incongruent,s172
1.0,red,blue,89,incongruent,s172
1.0,blue,green,71,incongruent,s192
1.0,green,green,82,congruent,s192
1.0,red,green,89,incongruent,s192
1.0,green,blue,82,incongruent,s192
1.0,red,red,89,congruent,s192
1.0,blue,blue,71,congruent,s192
1.0,red,red,89,congruent,s192
1.0,blue,blue,71,congruent,s192
1.0,blue,blue,71,congruent,s192
1.0,blue,red,71,incongruent,s192
1.0,green,red,82,incongruent,s192
0.0,blue,red,89,incongruent,s192
1.0,blue,green,71,incongruent,s192
1.0,red,red,89,congruent,s192
1.0,green,red,82,incongruent,s192
1.0,green,green,82,congruent,s192
1.0,blue,blue,71,congruent,s192
1.0,blue,blue,71,congruent,s192
1.0,red,red,89,congruent,s192
1.0,green,red,82,incongruent,s192
1.0,blue,red,71,incongruent,s192
0.0,green,blue,71,incongruent,s192
1.0,red,red,89,congruent,s192
1.0,red,blue,89,incongruent,s192
0.0,blue,green,82,incongruent,s192
1.0,blue,red,71,incongruent,s192
1.0,red,red,89,congruent,s192
1.0,blue,blue,71,congruent,s192
1.0,blue,green,71,incongruent,s192
1.0,green,green,82,congruent,s192
1.0,blue,blue,71,congruent,s192
1.0,red,green,89,incongruent,s192
1.0,red,red,89,congruent,s192
1.0,red,green,89,incongruent,s192
1.0,blue,red,71,incongruent,s192
1.0,red,green,89,incongruent,s192
1.0,red,red,89,congruent,s192
0.0,green,green,-1,congruent,s192
1.0,blue,green,71,incongruent,s192
1.0,green,green,82,congruent,s192
1.0,red,red,89,congruent,s192
1.0,green,red,82,incongruent,s192
1.0,green,blue,82,incongruent,s192
0.0,red,red,71,congruent,s192
1.0,blue,red,71,incongruent,s192
1.0,blue,green,71,incongruent,s192
1.0,green,blue,82,incongruent,s192
1.0,red,blue,89,incongruent,s192
1.0,blue,blue,71,congruent,s192
1.0,red,green,89,incongruent,s192
1.0,red,red,89,congruent,s192
1.0,blue,blue,71,congruent,s192
1.0,green,green,82,congruent,s192
0.0,blue,blue,89,congruent,s192
1.0,blue,blue,71,congruent,s192
1.0,blue,green,71,incongruent,s192
1.0,green,green,82,congruent,s192
1.0,red,green,89,incongruent,s192
1.0,red,blue,89,incongruent,s192
1.0,red,blue,89,incongruent,s192
1.0,green,red,82,incongruent,s192
1.0,red,red,89,congruent,s192
1.0,green,blue,82,incongruent,s192
1.0,green,green,82,congruent,s192
1.0,green,green,82,congruent,s192
1.0,red,red,89,congruent,s192
1.0,blue,red,71,incongruent,s192
1.0,red,red,89,congruent,s192
1.0,green,green,82,congruent,s192
1.0,red,green,89,incongruent,s192
0.0,green,blue,71,incongruent,s192
1.0,blue,red,71,incongruent,s192
1.0,green,red,82,incongruent,s192
1.0,blue,blue,71,congruent,s192
1.0,blue,blue,71,congruent,s192
1.0,blue,blue,71,congruent,s192
1.0,red,red,89,congruent,s192
1.0,green,green,82,congruent,s192
1.0,green,red,82,incongruent,s192
1.0,blue,blue,71,congruent,s192
1.0,green,red,82,incongruent,s192
1.0,red,blue,89,incongruent,s192
1.0,red,blue,89,incongruent,s192
0.0,green,green,71,congruent,s192
1.0,blue,green,71,incongruent,s192
1.0,green,green,82,congruent,s192
1.0,green,green,82,congruent,s192
1.0,red,blue,89,incongruent,s192
1.0,red,blue,89,incongruent,s192
1.0,green,blue,82,incongruent,s192
1.0,green,green,82,congruent,s192
1.0,red,red,89,congruent,s192
1.0,green,blue,82,incongruent,s192
1.0,green,green,82,congruent,s192
1.0,red,green,89,incongruent,s192
1.0,blue,blue,71,congruent,s192
1.0,blue,green,71,incongruent,s234
1.0,blue,blue,71,congruent,s234
1.0,green,green,82,congruent,s234
1.0,blue,blue,71,congruent,s234
1.0,red,red,89,congruent,s234
1.0,blue,blue,71,congruent,s234
1.0,red,green,89,incongruent,s234
1.0,blue,blue,71,congruent,s234
1.0,red,green,89,incongruent,s234
1.0,red,blue,89,incongruent,s234
1.0,red,green,89,incongruent,s234
1.0,blue,blue,71,congruent,s234
1.0,red,blue,89,incongruent,s234
1.0,red,red,89,congruent,s234
1.0,red,red,89,congruent,s234
1.0,blue,red,71,incongruent,s234
1.0,green,blue,82,incongruent,s234
1.0,green,red,82,incongruent,s234
1.0,green,green,82,congruent,s234
1.0,red,red,89,congruent,s234
1.0,red,blue,89,incongruent,s234
1.0,red,red,89,congruent,s234
1.0,red,green,89,incongruent,s234
0.0,green,green,71,congruent,s234
1.0,red,blue,89,incongruent,s234
1.0,green,green,82,congruent,s234
1.0,green,red,82,incongruent,s234
1.0,blue,green,71,incongruent,s234
1.0,red,red,89,congruent,s234
1.0,blue,blue,71,congruent,s234
1.0,red,red,89,congruent,s234
1.0,green,green,82,congruent,s234
1.0,red,red,89,congruent,s234
1.0,green,blue,82,incongruent,s234
1.0,blue,green,71,incongruent,s234
1.0,red,green,89,incongruent,s234
1.0,blue,red,71,incongruent,s234
1.0,blue,blue,71,congruent,s234
1.0,green,blue,82,incongruent,s234
1.0,green,green,82,congruent,s234
1.0,red,red,89,congruent,s234
1.0,green,green,82,congruent,s234
1.0,blue,blue,71,congruent,s234
1.0,green,blue,82,incongruent,s234
0.0,blue,red,89,incongruent,s234
1.0,green,red,82,incongruent,s234
