choice,large_amount,later_delay,small_amount,response_time,rt_nan,worker_id
larger_later,25.0,176.0,20.0,0.888,0,s172
larger_later,54.0,22.0,20.0,1.702,0,s172
smaller_sooner,29.0,44.0,20.0,1.096,0,s172
smaller_sooner,24.0,89.0,20.0,1.226,0,s172
smaller_sooner,23.0,77.0,20.0,1.288,0,s172
smaller_sooner,27.0,130.0,20.0,1.225,0,s172
smaller_sooner,23.0,134.0,20.0,1.186,0,s172
smaller_sooner,55.0,107.0,20.0,1.652,0,s172
smaller_sooner,44.0,143.0,20.0,0.997,0,s172
smaller_sooner,23.0,110.0,20.0,1.307,0,s172
smaller_sooner,65.0,156.0,20.0,1.228,0,s172
smaller_sooner,22.0,27.0,20.0,1.907,0,s172
larger_later,50.0,59.0,20.0,1.547,0,s172
smaller_sooner,85.0,129.0,20.0,1.054,0,s172
larger_later,66.0,58.0,20.0,1.228,0,s172
smaller_sooner,49.0,172.0,20.0,1.009,0,s172
larger_later,73.0,44.0,20.0,1.083,0,s172
smaller_sooner,58.0,73.0,20.0,1.355,0,s172
smaller_sooner,71.0,76.0,20.0,1.321,0,s172
smaller_sooner,67.0,74.0,20.0,1.13,0,s172
smaller_sooner,29.0,58.0,20.0,1.254,0,s172
smaller_sooner,39.0,104.0,20.0,1.434,0,s172
smaller_sooner,33.0,103.0,20.0,1.083,0,s172
smaller_sooner,33.0,78.0,20.0,1.159,0,s172
larger_later,74.0,52.0,20.0,1.159,0,s172
smaller_sooner,28.0,132.0,20.0,1.103,0,s172
smaller_sooner,28.0,59.0,20.0,1.117,0,s172
smaller_sooner,28.0,163.0,20.0,1.025,0,s172
smaller_sooner,32.0,74.0,20.0,1.135,0,s172
smaller_sooner,57.0,89.0,20.0,1.613,0,s172
smaller_sooner,70.0,108.0,20.0,0.928,0,s172
smaller_sooner,72.0,95.0,20.0,1.04,0,s172
larger_later,30.0,36.0,20.0,1.048,0,s172
smaller_sooner,41.0,129.0,20.0,1.27,0,s172
smaller_sooner,78.0,129.0,20.0,0.879,0,s172
smaller_sooner,71.0,88.0,20.0,1.185,0,s172
smaller_sooner,65.0,159.0,20.0,0.873,0,s172
smaller_sooner,24.0,125.0,20.0,0.974,0,s172
larger_later,58.0,36.0,20.0,0.79,0,s172
larger_later,63.0,37.0,20.0,0.931,0,s172
larger_later,75.0,41.0,20.0,1.257,0,s172
smaller_sooner,45.0,72.0,20.0,1.339,0,s172
smaller_sooner,25.0,74.0,20.0,0.943,0,s172
smaller_sooner,65.0,137.0,20.0,0.994,0,s172
smaller_sooner,49.0,140.0,20.0,1.113,0,s172
smaller_sooner,67.0,103.0,20.0,0.787,0,s172
smaller_sooner,69.0,172.0,20.0,0.769,0,s172
smaller_sooner,66.0,71.0,20.0,1.029,0,s172
smaller_sooner,71.0,176.0,20.0,0.881,0,s172
smaller_sooner,31.0,76.0,20.0,1.0,0,s172
larger_later,43.0,19.0,20.0,0.98,0,s172
smaller_sooner,60.0,124.0,20.0,0.797,0,s172
smaller_sooner,27.0,142.0,20.0,0.91,0,s172
smaller_sooner,25.0,70.0,20.0,1.103,0,s172
smaller_sooner,44.0,92.0,20.0,0.918,0,s172
larger_later,41.0,27.0,20.0,1.005,0,s172
smaller_sooner,64.0,89.0,20.0,1.2,0,s172
smaller_sooner,78.0,108.0,20.0,0.813,0,s172
smaller_sooner,80.0,145.0,20.0,0.713,0,s172
smaller_sooner,41.0,174.0,20.0,0.771,0,s172
