epoch,train_loss,train_acc,val_loss,val_acc
1,0.5074119014399392,0.7789295315742493,0.34537837335041593,0.9091031295912606
2,0.1753852026803153,0.9739718096596854,0.2331970121179308,0.9289742197309222
3,0.1224912383726665,0.9751285825456891,0.23834672144481114,0.9398496150970459
4,0.12030390543597085,0.9763929418155125,0.23166026387895858,0.9407894696508136
5,0.1159447617828846,0.9766527329172406,0.2219252267054149,0.9407894696508136
6,0.11556848351444517,0.9763642719813755,0.21411071291991643,0.9468985029629299
7,0.11213644434298788,0.9766226155417306,0.21024619468620845,0.9468985029629299
8,0.10957875954253334,0.9763379352433341,0.2083589541060584,0.9468985029629299
9,0.1113354382770402,0.9751767260687692,0.20448961641107286,0.9468985029629299
10,0.12366763289485659,0.9692427345684597,0.19753246435097285,0.9468985029629299
11,0.09900084616882461,0.9765957593917847,0.18653712740966252,0.9468985029629299
12,0.09471184015274048,0.9759509222848075,0.18098334542342595,0.9468985029629299
13,0.08742725050875119,0.9769765734672546,0.1765993343932288,0.9468985029629299
14,0.08753698798162597,0.9762055277824402,0.16855875296252115,0.9559613466262817
15,0.08999507501721382,0.9738866686820984,0.1622648143342563,0.9569011926651001
16,0.09284336332763944,0.9724217482975551,0.1641641120825495,0.9564312696456909
17,0.08107486580099378,0.9774552243096488,0.1623889378138951,0.9583109702382769
18,0.08238680128540311,0.9774104697363717,0.16084445693663188,0.960660593850272
19,0.07925479114055634,0.9781538162912641,0.15935350209474564,0.9620703629084996
20,0.08540579463754382,0.9764806798526219,0.15647251265389578,0.962540294442858
21,0.07913163251110486,0.9783442190715245,0.154836400278977,0.9630102174622672
22,0.077457708971841,0.9789596199989319,0.1541347833616393,0.9630102174622672
23,0.07700858584472112,0.9791887061936515,0.15437288263014384,0.9630102174622672
24,0.07932843906538826,0.978257954120636,0.15457886776753835,0.9630102174622672
25,0.07685002205627305,0.979159780911037,0.1542527015720095,0.9630102174622672
26,0.07907825229423386,0.978229284286499,0.15359926330191748,0.9630102174622672
27,0.0760439405483859,0.9793906382152012,0.15341841216598237,0.9630102174622672
28,0.07716365158557892,0.9789018716130938,0.15384836388485773,0.9630102174622672
29,0.07478935111846242,0.9796191539083209,0.15364524934973037,0.9630102174622672
30,0.07367689135883536,0.979747440133776,0.15419873488800867,0.9630102174622672
31,0.07890711724758148,0.9780687434332711,0.153236095394407,0.9630102174622672
32,0.07390571598495756,0.9798195787838527,0.1543327740260533,0.9630102174622672
33,0.07743278944066592,0.978684527533395,0.15234802876199996,0.9630102174622672
34,0.0734171446944986,0.979719340801239,0.1556574638400759,0.9630102174622672
35,0.07558853179216385,0.9793022530419486,0.15120031046015875,0.9630102174622672
36,0.07414603552648,0.9795330251966204,0.15772192073719843,0.962540294442858
37,0.07848430797457695,0.9787007399967739,0.1508051242147173,0.9636144042015076
38,0.07503795410905566,0.9798332112176078,0.15830325654574803,0.9620703629084996
39,0.08062720405203956,0.9769950679370335,0.15347966019596374,0.962540294442858
40,0.07483479061297008,0.9794752086911883,0.15527557262352534,0.9620703629084996
41,0.07306769756334168,0.9799339515822274,0.15211526304483414,0.962540294442858
42,0.07449418599052089,0.9790158271789551,0.15131373064858572,0.9636144042015076
43,0.07747913151979446,0.9772093381200518,0.1537556148001126,0.962540294442858
44,0.07639497944286891,0.9768967969076974,0.15414931092943465,0.962540294442858
45,0.06829437613487244,0.9801213996750968,0.1570640504360199,0.9620703629084996
46,0.07435727758066994,0.9763656003134591,0.15725365387541906,0.962540294442858
47,0.07100698511515345,0.9780140263693673,0.15427499370915548,0.9652927006993975
