model_name,test_fold,val_fold,participant_emb_dim,hyper_hidden_dim,hidden_dim,n_epochs,lr,patience,best_val_loss,test_accuracy,test_balanced_accuracy,test_auc,n_pred_0,n_pred_1,model_path
HyperRNN,3,4,2,2,64,400,0.005,50,0.42968220370156424,0.8178104575163399,0.6270308508118724,0.8065870111340786,4381,515,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold3_2pdim_2hyperh_64hidden.pt
HyperRNN,4,0,2,2,64,400,0.005,50,0.3974028740610395,0.8007796471070989,0.6022490878207809,0.8021477634909703,4428,446,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold4_2pdim_2hyperh_64hidden.pt
HyperRNN,0,1,2,4,2,400,0.005,50,0.41607394388743807,0.8210462532821652,0.6405297468129322,0.8076723353877578,4386,565,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold0_2pdim_4hyperh_2hidden.pt
HyperRNN,1,2,2,4,2,400,0.005,50,0.399532858814512,0.8248071457572067,0.6544365231841086,0.8127779999016053,4346,580,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold1_2pdim_4hyperh_2hidden.pt
HyperRNN,2,3,2,4,2,400,0.005,50,0.4046147848878588,0.8145358306188925,0.6312721803631197,0.7999646577324643,4371,541,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold2_2pdim_4hyperh_2hidden.pt
HyperRNN,3,4,2,4,2,400,0.005,50,0.41925747053963797,0.8237336601307189,0.6497798376125283,0.8185530195277292,4310,586,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold3_2pdim_4hyperh_2hidden.pt
HyperRNN,4,0,2,4,2,400,0.005,50,0.3980206974915096,0.8032416906032006,0.6274220369015873,0.7987192684026473,4302,572,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold4_2pdim_4hyperh_2hidden.pt
HyperRNN,0,1,2,4,4,400,0.005,50,0.3947753054755075,0.828115532215714,0.6558609528938931,0.8318273622917418,4363,588,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold0_2pdim_4hyperh_4hidden.pt
HyperRNN,1,2,2,4,4,400,0.005,50,0.4119904807635716,0.8239951278928136,0.6657579290922472,0.8090544775543526,4276,650,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold1_2pdim_4hyperh_4hidden.pt
HyperRNN,2,3,2,4,4,400,0.005,50,0.39065455964633394,0.8143322475570033,0.6286044824388536,0.8160624173202842,4384,528,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold2_2pdim_4hyperh_4hidden.pt
HyperRNN,3,4,2,4,4,400,0.005,50,0.4184715151786804,0.8229166666666666,0.6538391344395745,0.8245832097354489,4282,614,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold3_2pdim_4hyperh_4hidden.pt
