participant_emb_dim,hyper_hidden_dim,hidden_dim,lr,patience,mean_best_val_loss,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_auc,sd_test_accuracy,sd_test_balanced_accuracy,sd_test_auc
2,2,2,0.005,50,0.40533331377165654,0.8180846503338379,0.629164062894307,0.8079899289189363,0.008177153703010556,0.013228400097134904,0.009590572412007722
2,2,4,0.005,50,0.39970356566565374,0.8244019555998985,0.6521244313746857,0.8198558984739126,0.0076082458360990654,0.006100231226533396,0.0048300708304223235
2,2,8,0.005,50,0.39740205236843656,0.8221521897309527,0.6477252861650105,0.8207736839782612,0.00791987017417458,0.015955793599501413,0.009355241521625344
2,2,16,0.005,50,0.399323752948216,0.8217152749697311,0.6462841270739332,0.8166826778309464,0.005534200875743932,0.011967498884792213,0.004887166820713519
2,2,32,0.005,50,0.40818349974496027,0.8141874265520526,0.6320622530859903,0.8061904575713912,0.003443961310512501,0.012540545370711113,0.0034078635334997285
2,2,64,0.005,50,0.4084161741392953,0.8153055080437,0.625706261780833,0.8057629260372222,0.008931990103722405,0.014328074653961584,0.006011361528025132
2,4,2,0.005,50,0.4074999511241913,0.8174729160784369,0.6406880649748552,0.8075374561904407,0.00890099473885311,0.01157963601899228,0.00842513855628244
2,4,4,0.005,50,0.400322425365448,0.8209002283666447,0.6517157263629162,0.8196963785034109,0.005958304771709347,0.013791728455086201,0.008732352525153649
2,4,8,0.005,50,0.3976353985922677,0.8190179790585397,0.6510337056047856,0.820283342246039,0.009880404673415027,0.019639817309837382,0.003247847757612251
2,4,16,0.005,50,0.397332421370915,0.8213029106526906,0.6497584504707972,0.8174646493974584,0.006796405953236053,0.019729827302978478,0.0060702409288269045
2,4,32,0.005,50,0.4063545678343091,0.8171537616909698,0.6313409441235891,0.8109595208876931,0.007018604712367024,0.012839509770933843,0.004269043274425159
2,4,64,0.005,50,0.4031769607748304,0.8167706795920232,0.6248449239153848,0.8121156016915279,0.009094281657912184,0.014456446284626582,0.0056080533222312694
2,8,2,0.005,50,0.40336499469620846,0.818739501997209,0.636729413287652,0.8100740001199416,0.006526338801569128,0.012750683380939626,0.006125740165968272
2,8,4,0.005,50,0.3960362809044974,0.8205676519165562,0.6451738166312433,0.8171072874185338,0.007689546892495394,0.014583582368939746,0.009314978757458027
2,8,8,0.005,50,0.3987383254936763,0.8198027143256997,0.6461516492622624,0.8194525023448775,0.005478788959562916,0.009543215136037649,0.006283864483256233
2,8,16,0.005,50,0.40520744664328434,0.8187807265730795,0.636165996903269,0.8159786095340887,0.005371277461863237,0.014608353988423804,0.007812634928738696
2,8,32,0.005,50,0.4062941687447684,0.8169805783666989,0.6348019412132623,0.8097373048065271,0.008290163837934315,0.01446974712866342,0.0065690592337034745
2,8,64,0.005,50,0.4076873889991216,0.8197488800850081,0.6312013398969476,0.8085141361793371,0.009941297335359542,0.019571773476908083,0.013208752395390705
2,16,2,0.005,50,0.4071325489452907,0.8143906570824155,0.6274767775787755,0.8101016690026087,0.013896309482135289,0.023189406497454056,0.009854966441184056
2,16,4,0.005,50,0.40331177966935294,0.8182637895130481,0.6451946327235824,0.8157207564593545,0.006773220301303197,0.005577620150592341,0.005354304337322098
2,16,8,0.005,50,0.400135976927621,0.8211497913517972,0.6529856588756268,0.8144111285280851,0.005437705729065939,0.012088158035638254,0.004955981191106159
2,16,16,0.005,50,0.4057143560477666,0.815763710657395,0.6319902707666966,0.8128457130120591,0.009436306276778205,0.00842506688191742,0.004624542098164774
2,16,32,0.005,50,0.4087297567299434,0.8179215189321486,0.6343640081662265,0.808013887457401,0.006481100370822686,0.025063251630928825,0.005489914164867978
2,16,64,0.005,50,0.40731980715479166,0.813719941424558,0.6165323836974033,0.8061445012644096,0.010664476637740273,0.01872457629237594,0.011976578128956163
2,32,2,0.005,50,0.40577466317585537,0.8162504141585105,0.6248250013125712,0.8108216625422011,0.006778860818469259,0.007287184457336248,0.006281046837747466
2,32,4,0.005,50,0.39825358986854553,0.8185367454885151,0.6466018942951655,0.8163969060873928,0.0055261032205816815,0.007116063457256951,0.0074908345666650335
2,32,8,0.005,50,0.39866854633603777,0.819559329672779,0.6549181459719906,0.8171526710020938,0.0055521030983330805,0.010599053277635776,0.007232839233506569
2,32,16,0.005,50,0.4029521993228367,0.8171225620290523,0.6381242374219817,0.8120978988655694,0.003853841277707384,0.009580189051208969,0.004278410767377784
2,32,32,0.005,50,0.4067395687103271,0.8164127709120402,0.6336139467551599,0.8101236967037325,0.007705734328455968,0.0066530097302201704,0.0064389980184972615
2,32,64,0.005,50,0.4074666483061654,0.8162909974028956,0.6339121004210638,0.8084972199472563,0.007382492812327958,0.01698147800056187,0.006011645011183972
2,64,2,0.005,50,0.40491319809641163,0.8157055282124824,0.6304395727294871,0.8103866180756765,0.00672075021771753,0.01503051736052843,0.009180159927736183
2,64,4,0.005,50,0.4027631436075483,0.8183632585091573,0.6456677421307102,0.8166094657445578,0.009386514998761893,0.01920792201223787,0.00829633673660357
2,64,8,0.005,50,0.39856625625065395,0.8187374859071321,0.6445861800747474,0.8167084605679911,0.008863133524929116,0.013165000107900513,0.006656225318051183
2,64,16,0.005,50,0.4009286480290549,0.8194405099521556,0.6438103826804781,0.8151366796311017,0.005536385964174294,0.023644317927312294,0.002076235374692538
2,64,32,0.005,50,0.399971479177475,0.8170966530892049,0.6375314916037091,0.8120142548700343,0.008883926750775553,0.027027828954402373,0.006617413054083257
2,64,64,0.005,50,0.4077827317374093,0.8163817629777892,0.6256018248065172,0.8081286878856225,0.006955295061313946,0.030950272160320112,0.011229984804714146
4,2,2,0.005,50,0.41109137364796233,0.812350552325223,0.6223813568456031,0.8022439176325189,0.005891252801166848,0.0030996196126126907,0.0031484791587080172
4,2,4,0.005,50,0.3975435759340014,0.821030219124531,0.6522588326936356,0.8190289470698243,0.0031401231820176443,0.009945166613316497,0.0051325276818608295
4,2,8,0.005,50,0.39686277764184136,0.8243229181603935,0.65645640988661,0.8212242929494706,0.006734928756915289,0.007902634513303133,0.004431556650633834
4,2,16,0.005,50,0.3992653489112854,0.822007514761044,0.65276870677138,0.8180296647056486,0.0052426730731715875,0.01848047514245805,0.003743262268140919
4,2,32,0.005,50,0.4043967119285039,0.8175151400452296,0.6263547807061298,0.8110439796106655,0.00790767329051242,0.010793583778988458,0.005203177607831914
