Subnum,trial,RT,choice,outcome,missed
2,70,0.722,2.0,-650,0
2,71,0.233,1.0,200,0
2,72,0.296,1.0,200,0
2,73,0.346,1.0,200,0
2,74,0.313,1.0,200,0
2,75,0.489,1.0,-1050,0
2,76,0.372,2.0,100,0
2,77,0.394,2.0,100,0
2,78,0.358,2.0,100,0
2,79,0.405,2.0,100,0
2,80,0.402,1.0,200,0
2,81,0.35,1.0,200,0
2,82,0.353,1.0,200,0
2,83,0.281,1.0,200,0
2,84,0.284,3.0,-200,0
2,85,0.364,3.0,-200,0
2,86,0.352,3.0,-200,0
2,87,0.29,3.0,-200,0
2,88,0.284,3.0,1050,0
2,89,0.605,4.0,-100,0
2,90,0.384,4.0,-100,0
2,91,0.639,4.0,-100,0
2,92,0.536,4.0,-100,0
2,93,0.437,4.0,650,0
2,94,0.773,4.0,-100,0
2,95,0.34,4.0,-100,0
2,96,0.379,4.0,-100,0
2,97,0.465,4.0,-100,0
2,98,0.426,4.0,650,0
2,99,0.357,3.0,-200,0
2,100,0.569,3.0,-200,0
3,1,1.26,3.0,-200,0
3,2,0.424,4.0,-100,0
3,3,0.408,2.0,100,0
3,4,0.355,1.0,200,0
3,5,0.255,1.0,200,0
3,6,0.341,1.0,200,0
3,7,0.373,1.0,200,0
3,8,0.352,1.0,-1050,0
3,9,0.393,2.0,100,0
3,10,0.511,4.0,-100,0
3,11,0.301,1.0,200,0
3,12,0.565,2.0,100,0
3,13,0.271,1.0,200,0
3,14,0.47,2.0,100,0
3,15,0.426,2.0,-650,0
3,16,0.354,1.0,200,0
3,17,0.401,1.0,200,0
3,18,0.453,1.0,-1050,0
3,19,0.575,1.0,200,0
3,20,0.35,1.0,200,0
3,21,0.375,3.0,-200,0
3,22,0.386,2.0,100,0
3,23,0.443,1.0,200,0
3,24,0.407,4.0,-100,0
3,25,0.483,2.0,100,0
3,26,0.379,1.0,200,0
3,27,0.853,2.0,100,0
3,28,0.563,1.0,-1050,0
3,29,0.392,2.0,100,0
3,30,0.422,2.0,-650,0
3,31,0.334,2.0,100,0
3,32,0.307,1.0,200,0
3,33,0.409,1.0,200,0
3,34,0.437,1.0,200,0
3,35,0.452,1.0,200,0
3,36,0.506,2.0,100,0
3,37,1.79,4.0,-100,0
3,38,1.27,3.0,-200,0
3,39,0.422,2.0,100,0
3,40,0.422,1.0,-1050,0
3,41,0.456,2.0,100,0
3,42,0.327,1.0,200,0
3,43,0.405,1.0,200,0
3,44,0.505,1.0,200,0
3,45,0.751,1.0,200,0
3,46,0.368,2.0,-650,0
3,47,0.381,1.0,-1050,0
3,48,0.495,1.0,200,0
3,49,0.395,1.0,200,0
3,50,0.324,1.0,200,0
3,51,0.924,4.0,-100,0
3,52,0.311,3.0,-200,0
3,53,0.39,2.0,100,0
3,54,0.233,1.0,200,0
3,55,0.253,1.0,200,0
3,56,0.485,2.0,100,0
3,57,1.08,4.0,-100,0
3,58,0.357,1.0,200,0
3,59,0.372,1.0,200,0
3,60,0.463,1.0,-1050,0
3,61,0.302,1.0,200,0
3,62,0.298,1.0,200,0
3,63,0.421,1.0,200,0
3,64,0.369,1.0,200,0
3,65,1.44,4.0,-100,0
3,66,0.395,4.0,-100,0
3,67,0.482,1.0,-1050,0
3,68,1.4,1.0,200,0
3,69,0.341,1.0,200,0
3,70,0.606,1.0,200,0
3,71,0.316,1.0,200,0
3,72,0.459,1.0,-1050,0
3,73,0.381,1.0,200,0
3,74,0.424,1.0,200,0
3,75,1.51,1.0,200,0
3,76,0.92,1.0,200,0
3,77,0.379,2.0,100,0
3,78,0.695,2.0,100,0
3,79,2.0,,0,1
3,80,1.11,1.0,-1050,0
3,81,0.352,2.0,-650,0
3,82,0.765,2.0,100,0
3,83,0.324,1.0,200,0
