participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC,Condition
1,79.16266514160503,"[1.2936668396336437, 0.8517460365735543]",[2.30871118 0.09293597],79.16266514160503,162.32533028321006,169.36825211893455,LV
2,138.11224242380692,"[4.7983906723447225, 0.9922472574005095]",[1.33374903 0.83594784],138.11224242380692,280.22448484761384,287.2674066833383,LV
3,92.9940423638528,"[4.4164394556637365, 0.8617163211235589]",[2.37931135 0.04716963],92.9940423638528,189.9880847277056,197.03100656343008,LV
4,103.03713942455732,"[0.11592694136452339, 0.37021078221937714]",[1.96403427 0.10559155],103.03713942455732,210.07427884911465,217.1172006848391,LV
5,69.64107445254004,"[0.81639281203456, 0.15709539369822934]",[2.17650566 0.29387077],69.64107445254004,143.28214890508008,150.32507074080456,LV
6,76.12268196896311,"[2.95825981200664, 0.4362300580802626]",[2.17338546 0.3724634 ],76.12268196896311,156.2453639379262,163.2882857736507,LV
7,102.23418975395818,"[2.524999571958695, 0.23287521189928456]",[1.9488991  0.38376319],102.23418975395818,208.46837950791635,215.51130134364084,LV
8,100.33234766216424,"[3.5092647206262093, 0.0388825861709396]",[4.99990000e+00 1.07580526e-03],100.33234766216424,204.66469532432848,211.70761716005296,LV
9,70.90611521354847,"[2.2338400122559383, 0.5969397457668908]",[2.16086219 0.9999    ],70.90611521354847,145.81223042709695,152.85515226282143,LV
10,104.12943957057615,"[2.578529588401817, 0.3818860692000967]",[1.94204733 0.15644018],104.12943957057615,212.25887914115236,219.3018009768768,LV
11,56.26767546250691,"[2.5154638473356457, 0.9541939875645565]",[3.07006786 0.0306408 ],56.26767546250691,116.53535092501382,123.57827276073832,LV
12,84.70932034061768,"[3.9440041257429437, 0.9264171598695216]",[1.88514229 0.4683306 ],84.70932034061768,173.41864068123536,180.46156251695984,LV
13,54.282398896244615,"[0.8053337709419931, 0.08313263092783121]",[2.50756873 0.31594526],54.282398896244615,112.56479779248924,119.60771962821372,LV
14,100.43035040957449,"[0.8778844843867264, 0.9463751397555213]",[1.82560594 0.9999    ],100.43035040957449,204.86070081914897,211.90362265487343,LV
15,114.45281710945636,"[4.2222597135796756, 0.6515639326312133]",[2.30272801 0.03402965],114.45281710945636,232.9056342189127,239.9485560546372,LV
16,51.8605538435372,"[4.406292860559705, 0.4097466381386126]",[2.36468843 0.39890366],51.8605538435372,107.7211076870744,114.7640295227989,LV
17,84.06990746618054,"[3.2519274309833706, 0.2577514663243077]",[1.97370312 0.77528864],84.06990746618054,172.13981493236108,179.18273676808556,LV
18,39.72863816836146,"[2.9631084574246516, 0.45796500261342243]",[4.99990000e+00 4.16372521e-03],39.72863816836146,83.45727633672293,90.50019817244744,LV
19,155.7331571704541,"[1.0962160249632547, 0.2070684543336077]",[1.37382852 0.05407901],155.7331571704541,315.4663143409082,322.50923617663267,LV
20,158.45091845403468,"[1.3709784736353017, 0.17166539187418323]",[1.2776178  0.06528621],158.45091845403468,320.90183690806936,327.94475874379384,LV
21,81.82535877244982,"[4.099175038104391, 0.2861374085387498]",[4.99990000e+00 1.48123068e-03],81.82535877244982,167.65071754489963,174.69363938062412,LV
22,57.89026446008585,"[0.9605503812518454, 0.6494681392178538]",[2.69029227 0.07906093],57.89026446008585,119.7805289201717,126.8234507558962,LV
23,152.4267327387196,"[4.49499526904659, 0.14099972570723066]",[1.7027106  0.02962261],152.4267327387196,308.8534654774392,315.8963873131637,LV
24,57.16661644745677,"[4.025430729203968, 0.08389607402086365]",[2.51668369 0.22040306],57.16661644745677,118.33323289491354,125.37615473063804,LV
25,142.4314679674204,"[2.0359664988182633, 0.3273539482591846]",[1.46994336 0.76741456],142.4314679674204,288.8629359348408,295.90585777056526,LV
