participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
1,147.22316677268248,"[3.329683748464821, 0.24911064231000568]",[0.587528 0.176006],147.22316677268248,298.44633354536495,305.48925538108944
2,173.02810893174967,"[4.354427757397056, 0.022785479765527045]",[0.01293841 0.01934855],173.02810893174967,350.05621786349934,357.0991396992238
3,153.60188128992525,"[1.6881402408030834, 0.9379652333011271]",[0.09447317 0.0001    ],153.60188128992525,311.2037625798505,318.246684415575
4,163.53208866832028,"[3.201347401357552, 0.03332216788664149]",[0.91953465 0.53204334],163.53208866832028,331.06417733664057,338.10709917236505
5,138.2572916691721,"[0.18301498216682408, 0.1228093926549193]",[1.31348028 0.47328663],138.2572916691721,280.5145833383442,287.5575051740687
6,132.65230657845933,"[1.2340345676644344, 0.4874767148976087]",[0.99362164 0.2671994 ],132.65230657845933,269.30461315691866,276.34753499264315
7,146.14184333891265,"[0.12696946785799476, 0.4453928404205807]",[0.58921512 0.1699879 ],146.14184333891265,296.2836866778253,303.3266085135498
8,170.44698497079852,"[0.23339945799895695, 0.14343277586693695]",[0.05567398 0.02250612],170.44698497079852,344.89396994159705,351.93689177732153
9,172.20810551085756,"[1.959247102778784, 0.8057118793772499]",[4.9999     0.99844353],172.20810551085756,348.4162110217151,355.4591328574396
10,35.81464205135979,"[4.115339346435233, 0.3406239464689772]",[2.55907304 0.380219  ],35.81464205135979,75.62928410271958,82.67220593844408
11,170.22972929599013,"[2.206258025328212, 0.45058282187153226]",[4.9999     0.99698844],170.22972929599013,344.45945859198025,351.50238042770474
12,142.72880123701594,"[4.671729787213318, 0.9615024154261163]",[0.87681242 0.24987372],142.72880123701594,289.4576024740319,296.5005243097564
13,130.6218203868492,"[1.4529735908412724, 0.4611521412286736]",[0.90904487 0.24449859],130.6218203868492,265.2436407736984,272.2865626094229
14,104.1063880627758,"[4.83392870726879, 0.3343411697185494]",[1.05909375 0.2621695 ],104.1063880627758,212.2127761255516,219.2556979612761
15,144.8671298881619,"[3.806285253268116, 0.2510629139763163]",[0.36844    0.08846611],144.8671298881619,293.7342597763238,300.7771816120483
